API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-109-32966,42-109-32966-00,840420003823028,817375727,42-109-32966-00-00_ECP_RS0056291696.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,8650.00,10430.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DRHO_E,DT_E,GR_E,NPHI_E,PE_E,RESD_LL_E,RESS_LL_E,RHOB_E",41,MD,2258652,2024-04-11,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
42-109-32966,42-109-32966-00,840420003823028,817370186,42-109-32966-00-00_EC_RS0056286132.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,8650.00,10430.00,LAS,"CALI,DPHI_LS,DRHO,DT,GR,NPHI_LS,PE,RESD_LL,RESS_LL,TENS",10,MD,602879,2024-04-05,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
42-109-32966,42-109-32966-00,840420003823028,817336153,42-109-32966-00-00_DIG_RS0056239141.LAS,LAS,DIGITAL_LOG,RAW,100,8650.00,10430.00,LAS,"CALXR,DCOR,DPOR_LS,DT,GRR,LLD,LLS,MLL,NPOR_LS,PE,SPHI_LS,TENR",12,,716541,2024-04-02,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
42-389-30424,42-389-30424-00,840420002919174,812085969,42-389-30424-00-00_DIG_RS0032008121.LAS,LAS,DIGITAL_LOG,RAW,100,7.00,15912.00,LAS,"CAL,DPHI,DT,GR,NPHI",5,MD,1849353,2020-05-10,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
42-389-30424,42-389-30424-00,840420002919174,813725452,42-389-30424-00-00_ECP_RS0041780963.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,7.00,15909.00,LAS,"CALI_E,DT_E,GR_E,NPHI_E",16,MD,8179130,2023-11-21,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-30424,42-389-30424-00,840420002919174,812529623,42-389-30424-00-00_EC_RS0032868390.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,7.00,15912.00,LAS,"CALI__A,DPHI__A,DT__A,GR__A,NPHI__A",5,MD,2930037,2023-11-04,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
42-389-31270,42-389-31270-00,840420002954229,809198406,42-389-31270-00-00_DIG_RS0019554741.LAS,LAS,DIGITAL_LOG,RAW,100,6530.00,13875.00,LAS,"ACTIVATI,AI,BHTP,BIOTSCON,BRITTLE,BULKMOD,BVI,BVI1,BVW,BVW1,CALD,CALD1,CALIFLG,CG,CLAY,CODE1,DRHO,DT,DTC_MODE,DTS_MODE,FF_FLAG,FHC_FLAG,FW_FLAG,GRINDFAC,GRNRM,GRNRM1,KF_FLAG,KG_FLAG,LARGE,LLD,LLS,LW_FLAG,MEDIUM,MSFL,NUPERM,NUPERM_E,OIP,PAYFLAG,PCNLSNRM,",82,,12546226,2017-03-07,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
42-389-31270,42-389-31270-00,840420002954229,812045860,42-389-31270-00-00_DIG_RS0031950282.LAS,LAS,DIGITAL_LOG,RAW,100,3825.00,13654.00,LAS,"CAL,DT,GR",3,MD,724714,2020-05-10,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-31270,42-389-31270-00,840420002954229,811841996,42-389-31270-00-00_ECP_RS0031561319.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,3825.00,13874.50,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DRHO_E,DT_E,GR_E,NPHI_E,RESD_E,RESD_LL_E,RESS_LL_E,RHOB_E,SP_E",45,MD,13917765,2023-11-21,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
42-389-31270,42-389-31270-00,840420002954229,812540463,42-389-31270-00-00_EC_RS0032881922.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,3825.00,13654.00,LAS,"CALI__B,DT__B,GR__B",3,MD,1222151,2023-11-04,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
