ev_id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,magnitude,uncertainty,type,method_id,station_count,evaluation_status
2000j0ym,earthquake,,us,manual,reviewed,2019-01-07 02:45:20.230000,-103.2513,0.0084,31.1653,0.0162,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,2500.0,3000.0,191.0,3000.0,1000.0,2500.0,43.0,191.0,6.0,35,23,,,,0.74,53.0,94.0,GT5,0.252,,,2.5,0.124,mb_Lg,1.0,19,reviewed
2000jety,earthquake,,us,manual,reviewed,2019-02-07 17:05:03.090000,-103.2314,0.0526,31.2081,0.0324,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,4200.0,5500.0,7700.0,91.0,7700.0,3000.0,5500.0,0.0,91.0,268.0,43,37,,,,0.99,52.0,84.0,,0.298,,,2.8,0.091,ML,1.0,16,reviewed
1000jaam,earthquake,,us,manual,reviewed,2019-03-04 09:11:00.500000,-103.2555,0.0189,31.1132,0.0126,5000.0,1600.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1600.0,2200.0,3400.0,97.0,3400.0,1500.0,2200.0,39.0,97.0,79.0,30,23,,,,0.37,54.0,92.0,GT5,0.201,,,2.5,0.142,mb_Lg,1.0,13,reviewed
1000jigx,earthquake,,us,manual,reviewed,2019-03-19 11:30:09.473000,-103.2515,0.0147,31.1016,0.0063,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,800.0,2100.0,2700.0,242.0,2700.0,700.0,2100.0,69.0,242.0,10.0,45,33,,,,0.31,54.0,84.0,GT5,0.191,,,2.8,0.091,ML,1.0,56,reviewed
1000jjh5,earthquake,,us,manual,reviewed,2019-03-20 20:22:46.031000,-103.2443,0.0074,31.0967,0.0216,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1200.0,2900.0,3800.0,190.0,3800.0,800.0,2900.0,12.0,190.0,174.0,73,47,,,,0.62,53.0,66.0,GT5,0.029,,,3.1,0.07,mb_Lg,1.0,69,reviewed
1000jjpx,earthquake,,us,manual,reviewed,2019-03-21 10:53:16.022000,-103.2471,0.0126,31.1035,0.0108,5000.0,1700.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1200.0,2200.0,2600.0,170.0,2600.0,1200.0,2200.0,71.0,170.0,56.0,68,42,,,,0.46,52.0,66.0,GT5,0.021,,,3.1,0.097,ML,1.0,62,reviewed
1000jk4z,earthquake,,us,manual,reviewed,2019-03-22 06:57:55.969000,-103.2599,0.0147,31.1078,0.0153,4230.0,4600.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1500.0,1720.0,2239.0,167.0,7200.0,1900.0,2200.0,77.0,180.0,136.0,53,53,,,,0.84,52.0,66.0,GT5,0.018,,,2.2,0.085,ML,1.0,44,reviewed
2000kajq,earthquake,,us,manual,reviewed,2019-04-04 23:57:41.309000,-103.3443,0.0137,31.1998,0.0117,5910.0,1600.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,1643.0,1795.0,115.0,2700.0,1500.0,2100.0,58.0,210.0,87.0,67,46,,,,0.65,37.0,49.0,GT5,0.065,,,2.6,0.12,mb_Lg,1.0,23,reviewed
2000kc70,earthquake,,us,manual,reviewed,2019-04-08 08:20:39.647000,-103.2911,0.0084,31.1849,0.0117,1850.0,4400.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,900.0,763.0,1742.0,157.0,6800.0,800.0,1800.0,81.0,176.0,155.0,47,33,,,,0.65,55.0,90.0,GT5,0.265,,,2.6,0.097,ML,1.0,62,reviewed
70003ght,earthquake,,us,manual,reviewed,2019-05-03 23:40:06.919000,-103.2475,0.0074,31.1092,0.0144,5290.0,3500.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,981.0,2040.0,178.0,5500.0,1100.0,2000.0,75.0,168.0,17.0,69,32,,,,0.44,54.0,79.0,GT5,0.2,,,3.0,0.071,ML,1.0,86,reviewed
70003ivq,earthquake,,us,manual,reviewed,2019-05-09 16:19:27.312000,-103.2776,0.0158,31.1491,0.0126,4960.0,3500.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1400.0,1798.0,1948.0,135.0,5500.0,1900.0,2200.0,78.0,172.0,107.0,64,34,,,,0.54,55.0,85.0,GT5,0.232,,,2.7,0.097,ML,1.0,80,reviewed
