n_event,n_origin,event_id,event_time,latitude,latitude_uncertainty,longitude,longitude_uncertainty,depth,depth_uncertainty,rms,region,method,earth_model,event_type,magnitude,magnitude_type,n_P_phases,n_S_phases,preferred_origin
39,0,ESG2024wdzp,2024-11-11 06:05:40.135816,4.902044445962904,0.6974887864346316,-75.3741181987423,0.6552568642674232,1907.366071428571,722.3223642004548,0.1214090915586446,Colombia,NonLinLoc,Nereidas,earthquake,0.44,ML,9,9,True
39,1,ESG2024wdzp,2024-11-11 06:05:40.130000,4.909166666666667,0.42426406871192845,-75.36816666666667,0.42426406871192845,2140.0,400.0,0.1,Colombia,Hypo71,RSNC,earthquake,0.44,ML,9,9,False
38,0,ESG2024wdzq,2024-11-11 06:05:48.880516,4.902226151317381,0.6138008196666422,-75.37507875136207,0.5467519293984593,1683.035714285714,644.2272963155826,0.12334349518299074,Colombia,NonLinLoc,Nereidas,earthquake,1.09,ML,11,11,True
38,1,ESG2024wdzq,2024-11-11 06:05:48.869999,4.907833333333333,0.35355339059327373,-75.3715,0.35355339059327373,2180.0,300.0,0.09,Colombia,Hypo71,RSNC,earthquake,1.09,ML,11,11,False
38,2,ESG2024wdzq,2024-11-11 06:05:48.869999,4.907833333333333,0.35355339059327373,-75.3715,0.35355339059327373,2180.0,300.0,0.09,Colombia,Hypo71,RSNC,earthquake,1.09,ML,11,11,False
37,0,ESG2024wdzr,2024-11-11 06:08:55.724457,4.902831835832307,0.8981731652712215,-75.37956134605024,1.086386679112194,636.1607142857142,1216.8587765498053,0.14416835176700318,Colombia,NonLinLoc,Nereidas,earthquake,0.19,ML,4,4,True
37,1,ESG2024wdzr,2024-11-11 06:08:55.640000,4.914333333333333,1.0606601717798212,-75.375,1.0606601717798212,940.0,1300.0,0.13,Colombia,Hypo71,RSNC,earthquake,0.19,ML,4,4,False
36,0,ESG2024webo,2024-11-11 07:06:43.922960,4.895442484750214,0.931336517500785,-75.37337139930183,1.8441195367733088,1683.035714285714,1559.8584010986883,0.06463622218348045,Colombia,NonLinLoc,Nereidas,earthquake,0.3,ML,4,3,True
36,1,ESG2024webo,2024-11-11 07:06:43.950000,4.901666666666666,0.6363961030678927,-75.368,0.6363961030678927,1940.0,500.0,0.05,Colombia,Hypo71,RSNC,earthquake,0.3,ML,4,3,False
35,0,ESG2024weer,2024-11-11 08:41:17.810477,4.902952972735293,1.4583698782785288,-75.45832741017827,2.309917155876829,7366.071428571428,1637.781770183491,0.0472719591586603,Colombia,NonLinLoc,Nereidas,earthquake,0.42,ML,5,5,True
35,1,ESG2024weer,2024-11-11 08:41:17.760000,4.912666666666667,0.42426406871192845,-75.46983333333333,0.42426406871192845,8120.0,400.0,0.03,Colombia,Hypo71,RSNC,earthquake,0.42,ML,5,5,False
29,0,ESG2024wflx,2024-11-12 01:29:13.767032,4.876787401690503,0.8413268707525298,-75.4600328891335,0.9519567142546024,2580.3571428571427,956.737332746215,0.14179451011562752,Colombia,NonLinLoc,Nereidas,earthquake,0.08,ML,6,5,True
29,1,ESG2024wflx,2024-11-12 01:29:13.630000,4.877,0.6363961030678927,-75.45816666666667,0.6363961030678927,4540.0,700.0,0.09,Colombia,Hypo71,RSNC,earthquake,0.08,ML,6,5,False
21,0,ESG2024wgzx,2024-11-12 21:41:56.596395,4.883328794451701,0.7505299328951683,-75.32812014714929,0.7362596589195741,-1308.0357142857144,1453.41735549915,0.16657196228095905,Colombia,NonLinLoc,Nereidas,earthquake,0.56,ML,8,8,True
21,1,ESG2024wgzx,2024-11-12 21:41:56.689999,4.882,0.7071067811865475,-75.33283333333333,0.7071067811865475,1130.0,1200.0,0.11,Colombia,Hypo71,RSNC,earthquake,0.56,ML,8,8,False
17,0,ESG2024wioy,2024-11-13 18:25:07.294817,4.891202693145734,0.9987545278830269,-75.351385787519,1.5009234723580585,1832.5892857142853,2070.452705402339,0.09589282576292067,Colombia,NonLinLoc,Nereidas,earthquake,0.39,ML,4,4,True
17,1,ESG2024wioy,2024-11-13 18:25:07.150000,4.897666666666667,0.9192388155425117,-75.3385,0.9192388155425117,2140.0,1400.0,0.08,Colombia,Hypo71,RSNC,earthquake,0.39,ML,4,4,False
14,0,ESG2024witu,2024-11-13 20:52:51.450012,4.898834318033798,0.7520636891089042,-75.33751049032239,0.7668822859591169,-111.60714285714296,1606.5449789927882,0.1567476424658934,Colombia,NonLinLoc,Nereidas,earthquake,1.03,ML,9,9,True
14,1,ESG2024witu,2024-11-13 20:52:51.420000,4.906,0.7778174593052023,-75.32466666666667,0.7778174593052023,-1250.0,2700.0,0.16,Colombia,Hypo71,RSNC,earthquake,1.03,ML,9,9,False
5,0,ESG2024wlvz,2024-11-15 13:23:20.236703,4.949590680384571,1.585554691909621,-75.49739680466406,1.2084629155180546,6917.410714285715,1631.099351133278,0.08242262636770555,Colombia,NonLinLoc,Nereidas,earthquake,0.69,ML,9,8,True
5,1,ESG2024wlvz,2024-11-15 13:23:20.160000,4.967833333333333,0.7071067811865475,-75.515,0.7071067811865475,5430.0,2100.0,0.08,Colombia,Hypo71,RSNC,earthquake,0.69,ML,9,8,False
4,0,ESG2024wlzn,2024-11-15 15:10:13.006763,4.860312782884524,0.5497380160090366,-75.3678234456279,0.8559010178544332,187.5,976.9161253884647,0.11180509837033069,Colombia,NonLinLoc,Nereidas,earthquake,0.5,ML,7,7,True
4,1,ESG2024wlzn,2024-11-15 15:10:12.939999,4.857666666666667,0.4949747468305832,-75.35616666666667,0.4949747468305832,100.0,600.0,0.09,Colombia,Hypo71,RSNC,earthquake,0.5,ML,7,7,False
2,0,ESG2024wmai,2024-11-15 15:34:57.025995,4.899440002548724,0.5767165509297906,-75.39279580806702,0.5096881557203564,935.267857142857,642.7436617085539,0.0769251558332932,Colombia,NonLinLoc,Nereidas,earthquake,0.72,ML,9,9,True
2,1,ESG2024wmai,2024-11-15 15:34:57.020000,4.905666666666667,0.21213203435596423,-75.38966666666667,0.21213203435596423,1290.0,200.0,0.06,Colombia,Hypo71,RSNC,earthquake,0.72,ML,9,9,False
1,0,ESG2024wmfm,2024-11-15 18:11:18.483430,4.834874033257646,0.6826247408439119,-75.36398295206881,1.037956724098467,1084.8214285714284,1320.9916089523772,0.06771994889351217,Colombia,NonLinLoc,Nereidas,earthquake,1.04,ML,7,7,True
1,1,ESG2024wmfm,2024-11-15 18:11:18.449999,4.825833333333334,0.282842712474619,-75.35433333333333,0.282842712474619,840.0,400.0,0.05,Colombia,Hypo71,RSNC,earthquake,1.04,ML,7,7,False
0,0,ESG2024wmnp,2024-11-15 22:17:43.974932,4.898773749582306,0.5166792267501112,-75.39290254772686,0.4282208119412156,860.4910714285713,576.035179975753,0.07033584713920235,Colombia,NonLinLoc,Nereidas,earthquake,1.5,ML,11,11,True
0,1,ESG2024wmnp,2024-11-15 22:17:43.969999,4.905166666666666,0.1414213562373095,-75.38883333333334,0.1414213562373095,1210.0,200.0,0.06,Colombia,Hypo71,RSNC,earthquake,1.5,ML,11,11,False
